?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CHEBI_50533>		
<http://purl.obolibrary.org/obo/CHEBI_26799>		
<http://purl.obolibrary.org/obo/CHEBI_36132>	"A cyclic ketone in which the carbocyclic ring structure which may be saturated or unsaturated, but may not be a benzenoid or other aromatic system."	
<http://purl.obolibrary.org/obo/CHEBI_82632>	"A chromophore that is a linear tetrapyrrolic prosthetic group covalently attached to a large soluble protein phytochrome. Light absorption by the phytochrome chromophore triggers photoconversion between two spectrally distinct forms of the photoreceptor: Pr, the red light absorbing form, and Pfr, the far-red light absorbing form."	"PMID:2909515"
<http://purl.obolibrary.org/obo/CHEBI_33595>	"Any molecule that consists of a series of atoms joined together to form a ring."	"Wikipedia:Cyclic_compound"
<http://purl.obolibrary.org/obo/ECTO_9001784>	"An exposure to EC 3.1.1.7 (acetylcholinesterase) inhibitor."	
<http://purl.obolibrary.org/obo/CHEBI_15739>	"A member of the class of  alkylamines that is propane carrying an amino group at position 2."	"KEGG:C06748 CAS:75-31-0 PMID:23897436 Wikipedia:Isopropylamine Reaxys:605259 PMID:24365708 MetaCyc:ISOPROPYLAMINE UM-BBD_compID:c0656"
<http://purl.obolibrary.org/obo/ECTO_9001064>	"An exposure to 1,3-dichlorobenzene."	
<http://purl.obolibrary.org/obo/CHEBI_32532>		"Gmelin:1151904"
<http://purl.obolibrary.org/obo/ECTO_9000120>	"An exposure to geraniol."	
<http://purl.obolibrary.org/obo/CHEBI_42191>	"A tetracarboxylic acid anion formed by deprotonation of all four carboxy groups in ethylenediaminetetraacetic acid (EDTA)."	"PMID:34152137 PMID:11370764 Beilstein:3914756 AGR:IND605249959 PMID:22116197 PMID:31704581 AGR:IND601129247 PMID:33811400 Gmelin:144943 CAS:150-43-6 PMID:16472851 PMID:23587055 PMID:34277313 PMID:32821617 PMID:22232891"
<http://purl.obolibrary.org/obo/ENVO_02000021>	"A bodily fluid material which is composed primarily of amniotic fluid, a bodily fluid consisting of watery liquid surrounding and cushioning a growing fetus within the amnion. It allows the fetus to move freely without the walls of the uterus being too tight against its body. Buoyancy is also provided."	
<http://purl.obolibrary.org/obo/CHEBI_53216>	"A diisocyanate consisting of dicyclohexylmethane with two isocyanate groups at the 4- and 4'-positions."	"PMID:14531868 PMID:8960156 PMID:2488962 PMID:6740674 PMID:20334402 PMID:6821040 PMID:20851382 CAS:5124-30-1 PMID:17896759 Reaxys:2217800 PMID:1447476 Patent:US2011021810 Beilstein:2217800 PMID:11603590 PMID:20004749 PMID:19804698"
<http://purl.obolibrary.org/obo/CHEBI_59806>	"The conjugate acid of (S)-nicotine arising from selective protonation of the tertiary amino group; major species at pH 7.3."	"Gmelin:329042 MetaCyc:NICOTINE"
<http://purl.obolibrary.org/obo/CDNO_0200581>	"The concentration of sodium phosphate when measured in some material entity."	
<http://purl.obolibrary.org/obo/PO_0025073>	"A shoot axis (PO:00025029) that develops from an axillary bud meristem (PO:0000232) or from equal divisions of a meristematic apical cell (PO:0030007)."	"PO_GIT:134"
<http://purl.obolibrary.org/obo/CHEBI_47019>		
<http://purl.obolibrary.org/obo/CHEBI_23996>	"An aliphatic sulfide in which the sulfur atom is bonded to at least one ethyl group."	
<http://purl.obolibrary.org/obo/ENVO_01001195>	"An environmental disposition which inheres in an entity that intercepts, attenuates, or blocks radiation."	
<http://purl.obolibrary.org/obo/ECTO_9001472>	"An exposure to monocrotophos."	
<http://purl.obolibrary.org/obo/CHEBI_132932>	"An organic sodium salt that is the disodium salt of GMP."	"PMID:1851447 Wikipedia:Disodium_guanylate PMID:4601956 CAS:5550-12-9 PMID:22391056"
<http://purl.obolibrary.org/obo/ENVO_01000817>	"A biosphere is a part of an astronomical body which includes, as parts, all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact."	
<http://purl.obolibrary.org/obo/FOODON_03301403>		"SUBSET_SIREN:F1403"
<http://purl.obolibrary.org/obo/CHEBI_38275>		
<http://purl.obolibrary.org/obo/NCIT_C17604>	"The process of taking raw food and producing a finished meal.  Investigations into the link between food preparation methods and human disease"	
<http://purl.obolibrary.org/obo/ENVO_01001682>	"An object which is composed of a continuous mass of air."	
<http://purl.obolibrary.org/obo/CHEBI_15940>	"A pyridinemonocarboxylic acid that is pyridine in which the hydrogen at position 3 is replaced by a carboxy group."	"PMID:15183629 PMID:16322787 PMID:16767301 PMID:8423912 PMID:19369827 PMID:182198 PMID:16400392 http://www.langual.org/langual_thesaurus.asp?termid=B3757 PMID:4033386 PMID:33932650 KNApSAcK:C00000208 PMID:22458880 Reaxys:109591 PMID:186078 PMID:12563315 CAS:59-67-6 PMID:24029555 PMID:582105 PMID:16449845 PMID:9107536 PMID:20979384 PMID:34117670 PDBeChem:NIO PMID:15627518 Chemspider:913 PMID:24675661 KEGG:C00253 LINCS:LSM-4676 PMID:34066686 PMID:24848081 KEGG:D00049 PMID:22116693 PMID:18996527 PMID:15311728 PMID:22155410 Beilstein:109591 PMID:7581845 PMID:8306147 PMID:25241762 PMID:25040591 PMID:14550884 FooDB:FDB001014 AGR:IND607088605 Wikipedia:Niacin PMID:19779335 PMID:16018787 PMID:22770225 PMID:18037924 PMID:10540864 PMID:699281 Drug_Central:2835 PMID:22229411 PMID:19592242 PMID:16877271 http://www.langual.org/langual_thesaurus.asp?termid=B3772 PMID:16945375 PMID:22366213 PMID:32954525 DrugBank:DB00627 PMID:24568240 PMID:16172771 PMID:15651982 PMID:4259917 PMID:12789870 PMID:21632263 PMID:15037193 PMID:24975217 PMID:8679452 HMDB:HMDB0001488 PMID:33273654 Gmelin:3340 PMID:18993152 PMID:113218 PMID:15205990 PMID:19678716 PMID:34085526 PMID:135660 PMID:25429652 PMID:7217784 MetaCyc:NIACINE"
<http://purl.obolibrary.org/obo/CHEBI_36059>	"Any monocarboxylic acid anion carrying at least one hydroxy substituent."	
<http://purl.obolibrary.org/obo/CHEBI_35519>		
<http://purl.obolibrary.org/obo/CHEBI_39166>	"Any polyamine that contains four amino groups."	
<http://purl.obolibrary.org/obo/FOODON_03305364>		"SUBSET_SIREN:F5364"
<http://purl.obolibrary.org/obo/CHEBI_35293>		
<http://purl.obolibrary.org/obo/CHEBI_24002>		
<http://purl.obolibrary.org/obo/FOODON_00003013>	"A bell pepper is a fruits in different colours - including red, yellow, orange, green, white, and purple - from a bell pepper plant cultivar.  Bell peppers are sometimes grouped with less pungent pepper varieties as \"sweet peppers\"."@en	
<http://purl.obolibrary.org/obo/ECTO_9001622>	"An exposure to perfluorobutanesulfonic acid."	
<http://purl.obolibrary.org/obo/CHEBI_57248>	"Any one of a family of large lipopeptides that are inhibitors of the enzyme 1,3-beta-glucan synthase, thus damaging fungal cell walls. Echinocandins are fungicidal against most Candida spp and fungistatic against Aspergillus spp."	
<http://purl.obolibrary.org/obo/GO_0042133>	"The chemical reactions and pathways involving neurotransmitters, any of a group of substances that are released on excitation from the axon terminal of a presynaptic neuron of the central or peripheral nervous system and travel across the synaptic cleft to either excite or inhibit the target cell."	
<http://purl.obolibrary.org/obo/CHEBI_77313>	"A hydroxy monocarboxylic acid anion that is the conjugate base of rosuvastatin, obtained by deprotonation of the carboxy group; major species at pH 7.3."	
<http://purl.obolibrary.org/obo/CDNO_0000006>	"Dietary fibre which dissolves in water and is primarily fermented in the colon of monogastric animals by gut bacteria"@en	
<http://purl.obolibrary.org/obo/CHEBI_35695>	"Any dicarboxylic acid anion that is a monoanion obtained by the deprotonation of only one of the carboxy groups of the dicarboxylic acid."	
<http://purl.obolibrary.org/obo/ECTO_9000594>	"An exposure to iomeprol."	
<http://purl.obolibrary.org/obo/ECTO_1000019>	"A exposure event involving the interaction of an exposure receptor to high pressure environment."	
<http://purl.obolibrary.org/obo/CHEBI_33862>		
<http://purl.obolibrary.org/obo/ECTO_9001046>	"An exposure to p-cresol."	
<http://purl.obolibrary.org/obo/CHEBI_24675>	"Any benzoate derivative carrying a single carboxylate group and at least one hydroxy substituent."	
<http://purl.obolibrary.org/obo/ECTO_9001946>	"An exposure to MALDI matrix material."	
<http://purl.obolibrary.org/obo/ENVO_00002874>	"A manufactuered product which is capable of removing heat and controlling the humidity of the air within a site."@en	
<http://purl.obolibrary.org/obo/FOODON_03311386>		"SUBSET_SIREN:F11386"
<http://purl.obolibrary.org/obo/CHEBI_32530>		
<http://purl.obolibrary.org/obo/CHEBI_48721>	"Any member of the class of nitroanisoles in which a single nitro group is attached to the anisole ring."	
<http://purl.obolibrary.org/obo/CHEBI_37848>	"A plant growth regulator that modulates the formation of stems, leaves and flowers, as well as the development and ripening of fruit. The term includes endogenous and non-endogenous compounds (e.g. active compounds produced by bacteria on the leaf surface) as well as semi-synthetic and fully synthetic compounds."	"Wikipedia:Phytohormone"
<http://purl.obolibrary.org/obo/ECTO_9001000>	"An exposure to bromoform."	
<http://purl.obolibrary.org/obo/CHEBI_47017>		
<http://purl.obolibrary.org/obo/CHEBI_145932>	"A branched-chain saturated fatty acid anion resulting from the deprotonation of the carboxy group of (S)-2-methylbutanoic acid. The major species at pH 7.3."	"PMID:16819884"
<http://purl.obolibrary.org/obo/CHEBI_38824>	"Compounds consisting wholly of fluorine and carbon."	
<http://purl.obolibrary.org/obo/CHEBI_36862>	"A 14-hydroxy steroid in which the hydroxy group has a beta-configuration."	
<http://purl.obolibrary.org/obo/ECTO_0070013>	"An exposure to butter blend spread via ingestion."	
<http://purl.obolibrary.org/obo/ECTO_9001337>	"An exposure to 1H-pyrazole."	
<http://purl.obolibrary.org/obo/ECTO_9001725>	"An exposure to EC 1.2.1.3 [aldehyde dehydrogenase (NAD(+))] inhibitor."	
<http://purl.obolibrary.org/obo/ENVO_00002000>	"A solid astronomical body part which is part of the planetary surface between the peak of an elevation or the bottom of a depression and relatively flat surrounding land."	"SWEETRealm:Slope https://en.wikipedia.org/wiki/Slope EcoLexicon:slope"
<http://purl.obolibrary.org/obo/NCIT_C73554>	"The act of traveling by foot."	
<http://purl.obolibrary.org/obo/CHEBI_35779>		
<http://purl.obolibrary.org/obo/FOODON_00001579>	"An alcoholic drink (or alcoholic beverage) is a drink that contains ethanol, a type of alcohol produced by fermentation of grains, fruits, or other sources of sugar."@en	"SUBSET_SIREN:F10770"
<http://purl.obolibrary.org/obo/CHEBI_33566>	"Any compound containing an o-diphenol component."	"KEGG:C15571"
<http://purl.obolibrary.org/obo/CHEBI_36699>	"Any of a class of steroid hormones that are produced in the adrenal cortex."	
<http://purl.obolibrary.org/obo/NCBITaxon_72293>		"PMID:16403855 GC_ID:11 PMID:29034857"
<http://purl.obolibrary.org/obo/CHEBI_9434>	"A member of the class of  benzimidazoles  used widely in the treatment of hypertension."	"KEGG:C07710 PMID:24048485 PMID:15498586 Reaxys:6624054 Beilstein:6624054 HMDB:HMDB0015101 PMID:11558835 Drug_Central:2583 Wikipedia:Telmisartan CAS:144701-48-4 KEGG:D00627 LINCS:LSM-3657 PMID:18008027 DrugBank:DB00966 PMID:18360028 Patent:EP502314"
<http://purl.obolibrary.org/obo/ECTO_8000057>	"A exposure event involving the interaction of an exposure receptor to fire."	
<http://purl.obolibrary.org/obo/CHEBI_52092>	"An organic anion that is the conjugate base of ethanol."	"Reaxys:1839415 Beilstein:1839415"
<http://purl.obolibrary.org/obo/ECTO_9001584>	"An exposure to p-methoxyphenol."	
<http://purl.obolibrary.org/obo/CHEBI_40235>	"A member of the class of 2,6-diaminopurines that is 9H-purine in which the hydrogens at positions 2 and 6 are replaced by amino groups."	"PMID:413053 PDBeChem:6AP Reaxys:745238 PMID:8832386 MetaCyc:CPD0-2060 PMID:26190672 CAS:1904-98-9 Wikipedia:2,6-Diaminopurine PMID:676082"
<http://purl.obolibrary.org/obo/CHEBI_39213>		
<http://purl.obolibrary.org/obo/ECTO_9000963>	"An exposure to 2-acetamidofluorene."	
<http://purl.obolibrary.org/obo/ECTO_9000431>	"An exposure to isooctane."	
<http://purl.obolibrary.org/obo/CHEBI_39479>		
<http://purl.obolibrary.org/obo/GO_0008207>	"The chemical reactions and pathways involving C21-steroid hormones, steroid compounds containing 21 carbons which function as hormones."	
<http://purl.obolibrary.org/obo/CHEBI_25961>	"Any benzenoid aromatic compound that consists of a phenanthrene skeleton and its substituted derivatives thereof."	
<http://purl.obolibrary.org/obo/FOODON_03411136>	"Suidae is a family of artiodactyl mammals which are commonly called pigs, hogs or boars."@en	"http://www.langual.org/langual_thesaurus.asp?termid=B1136 MSW3:14200054 http://purl.obolibrary.org/obo/NCBITaxon_9823 ITIS:180722 http://eol.org/pages/328663"
<http://purl.obolibrary.org/obo/ECTO_9001829>	"An exposure to anti-asthmatic drug."	
<http://purl.obolibrary.org/obo/CHEBI_37076>		
<http://purl.obolibrary.org/obo/ECTO_7000134>	"A exposure event involving the interaction of an exposure receptor to xanthan gum."	
<http://purl.obolibrary.org/obo/CHEBI_48107>	"A nitrogen oxoacid of formula HNO3 in which the nitrogen atom is bonded to a hydroxy group and by equivalent bonds to the remaining two oxygen atoms."	"Wikipedia:Nitric_acid Reaxys:3587310 Gmelin:1576 MetaCyc:CPD-15028 PMID:22285512 KEGG:D02313 CAS:7697-37-2 PMID:23402861 KEGG:C00244"
<http://purl.obolibrary.org/obo/CHEBI_47018>		
<http://purl.obolibrary.org/obo/CHEBI_27998>		"KEGG:C00753 Gmelin:16317 CAS:7440-33-7 PDBeChem:W WebElements:W"
<http://purl.obolibrary.org/obo/ENVO_21001214>	"A radiation process during which electromagnetic waves or their quanta are emitted when molecules change their rotational-vibrational movements, usually at wavelengths between 760 nm and 1 mm."	"NCIT:C16736"
<http://purl.obolibrary.org/obo/CHEBI_74544>	"A 1-acyl-sn-glycerol 3-phosphate(2-) obtained by deprotonation of the phosphate OH groups of 1-oleoyl-sn-glycero-3-phosphate."	
<http://purl.obolibrary.org/obo/ECTO_9001704>	"An exposure to plant growth retardant."	
<http://purl.obolibrary.org/obo/ECTO_9002169>	"An exposure to vitamin B complex."	
<http://purl.obolibrary.org/obo/PR_000029067>	"A protein that is encoded in the genome of Homo sapiens."	
<http://purl.obolibrary.org/obo/PO_0009025>	"A leaf (PO:0025034) in a vascular plant."	"PO_GIT:137"
<http://purl.obolibrary.org/obo/CHEBI_37910>		
<http://purl.obolibrary.org/obo/CHEBI_18248>	"An iron group element atom that has atomic number 26."	"Reaxys:4122945 CAS:7439-89-6 DrugBank:DB01592 KEGG:C00023 HMDB:HMDB0015531 WebElements:Fe"
<http://purl.obolibrary.org/obo/FOODON_00001146>		
<http://purl.obolibrary.org/obo/CHEBI_38532>	"Compounds having the structure R2C=NNR2, formally derived from aldehydes or ketones by replacing =O by =NNH2 (or substituted analogues)."	
<http://purl.obolibrary.org/obo/CHEBI_24996>	"A hydroxy monocarboxylic acid anion that is the conjugate base of lactic acid, arising from deprotonation of the carboxy group."	"MetaCyc:Lactate CAS:113-21-3 Gmelin:240074 Beilstein:3587719 KEGG:C01432"
<http://purl.obolibrary.org/obo/CDNO_0100049>	"Inulin which is derived from fructan."@en	
<http://purl.obolibrary.org/obo/ECTO_9000875>	"An exposure to prednisolone."	
<http://purl.obolibrary.org/obo/FOODON_03400251>	"Viscous or semisolid fruit product made from whole fruits or pieces of fruit of one or more varieties and optional ingredients.  Includes fruit preserve or jam (21 CFR 150.160) and artificially sweetened fruit preserve or jam (21 CFR 150.161).  The specifications of starting mixture and finished soluble solids are the same as for fruit jelly."@en	"http://www.langual.org/langual_thesaurus.asp?termid=A0251"
<http://purl.obolibrary.org/obo/FOODON_00002347>		
<http://purl.obolibrary.org/obo/CDNO_0200609>	"The concentration of sodium fluoride when measured in some material entity."	
<http://purl.obolibrary.org/obo/ECTO_8000027>	"A exposure event involving the interaction of an exposure receptor to meteotsunami."	
<http://purl.obolibrary.org/obo/ECTO_9000713>	"An exposure to diglyme."	
<http://purl.obolibrary.org/obo/CHEBI_142544>	"A secondary ammonium ion resulting from the protonation of the secondary amino group of tamsulosin. The major species at pH 7.3."	
<http://purl.obolibrary.org/obo/ECTO_0070130>	"An exposure to potato (whole) via ingestion."	
<http://purl.obolibrary.org/obo/CHEBI_50536>		
<http://purl.obolibrary.org/obo/CHEBI_78780>	"A carbamate ester that is the methyl ester of [2-({[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy}methyl)phenyl]methoxycarbamic acid. A fungicide used to control major plant pathogens including Septoria tritici, Puccinia spp. and Pyrenophora teres."	"Reaxys:10095527 PMID:24533668 PMID:24144943 PMID:24908975 PMID:23554042 PMID:23998307 Pesticides:pyraclostrobin PMID:22730168 PMID:24380616 PMID:24772573 PPDB:564 KEGG:C18561 CAS:175013-18-0 PMID:23793800"
<http://purl.obolibrary.org/obo/CHEBI_46916>		"KEGG:C19309 Beilstein:4290704 Beilstein:1209327 CAS:108-05-4"
<http://purl.obolibrary.org/obo/ECTO_9001300>	"An exposure to vinyl acetate."	
<http://purl.obolibrary.org/obo/CHEBI_34232>	"A dichlorobiphenyl that is chlorobenzene in which the hydrogen at position 2 has been replaced by a 4-chlorophenyl group."	"CAS:34883-43-7 KEGG:C14246"
<http://purl.obolibrary.org/obo/CHEBI_5924>	"Any EC 3.4.* (hydrolases acting on peptide bond) inhibitor that inhibits the activity of a serine endopeptidase (EC 3.4.21.*)."	
<http://purl.obolibrary.org/obo/GO_1901576>	"The chemical reactions and pathways resulting in the formation of an organic substance, any molecular entity containing carbon."	
<http://purl.obolibrary.org/obo/CHEBI_60247>	"A silver atom having a net electric charge."	
<http://purl.obolibrary.org/obo/CHEBI_26534>		
<http://purl.obolibrary.org/obo/ECTO_9000729>	"An exposure to indometacin."	
<http://purl.obolibrary.org/obo/ENVO_00000106>	"An area in which grasses (Graminae) are a significant component of the vegetation."	
<http://purl.obolibrary.org/obo/CHEBI_77705>	"Any EC 3.4.* (hydrolases acting on peptide bond) inhibitor that interferes with the action of any omega-peptidase (EC 3.4.19.*)."	
<http://purl.obolibrary.org/obo/CHEBI_33583>	"A main group molecular entity containing one or more atoms of any noble gas."	
<http://purl.obolibrary.org/obo/CHEBI_42724>	"A 1-phenylpropan-2-amine that has R configuration."	"CAS:156-34-3 Drug_Central:1562 Gmelin:1125855 Beilstein:2432739"
<http://purl.obolibrary.org/obo/NCIT_C16502>	"Any method that uses a visual display of structural or functional patterns of organs or tissues for diagnostic evaluation."	
<http://purl.obolibrary.org/obo/CHEBI_48722>	"A member of the class of 2-nitroanisoles that is anisole in which one of the hydrogens ortho to the methoxy group is replaced by a nitro group."	"PMID:21217841 KEGG:C19270 PMID:16601807 PMID:21187827 PMID:21946300 Beilstein:1868032 Reaxys:1868032 CAS:91-23-6 Patent:CN101643419"
<http://purl.obolibrary.org/obo/ENVO_03510013>	"Dyes utilized for coloring textiles such as wool or cellulose fibers."	
<http://purl.obolibrary.org/obo/CHEBI_35676>	"A group of two-ring heterocyclic compounds consisting of a benzene ring fused to an azepine ring."	
<http://purl.obolibrary.org/obo/CHEBI_23906>		
<http://purl.obolibrary.org/obo/CHEBI_26709>	"An inorganic sodium salt having hydrogensulfite as the counterion."	"PMID:27905861 PMID:30429859 CAS:7631-90-5 Gmelin:22395 AGR:IND605265115 PMID:32785935 PMID:32714086"
<http://purl.obolibrary.org/obo/CHEBI_37581>	"A lactone having a five-membered lactone ring."	"PMID:18789684"
<http://purl.obolibrary.org/obo/CHEBI_42491>	"The simplest member of the class of flavones that consists of 4H-chromen-4-one bearing a phenyl substituent at position 2."	"CAS:525-82-6 Beilstein:157598 KEGG:C10043 Reaxys:157598 PMID:12063116 PMID:11370674 LIPID_MAPS_instance:LMPK12110097 HMDB:HMDB0003075 KNApSAcK:C00001040 PMID:18596412 DrugBank:DB07776 KEGG:C15608 MetaCyc:CPD-8485 Gmelin:1224858 PMID:17347140 PDBeChem:FLN"
<http://purl.obolibrary.org/obo/CHEBI_46690>		"Beilstein:98529 LINCS:LSM-2712 CAS:83-60-3"
<http://purl.obolibrary.org/obo/CHEBI_35516>		"LIPID_MAPS_instance:LMST01010000 CAS:14982-53-7 Beilstein:5334741 Wikipedia:Cholestane"
<http://purl.obolibrary.org/obo/CHEBI_86482>	"Any antibiotic antifungal agents whose structure is based on the antifungal agents originally isolated from the fungus Strobilurus tenacellus."	"Wikipedia:Strobilurin"
<http://purl.obolibrary.org/obo/CHEBI_39482>	"A chlorohydrocarbon carrying one or more chloro groups at unspecified positions."	
<http://purl.obolibrary.org/obo/ECTO_0000980>	"A exposure event involving the interaction of an exposure receptor to temperature of air."	
<http://purl.obolibrary.org/obo/CHEBI_9242>	"The spiroketal resulting from the formal condensation of 4-tert-butylcyclohexanone with 3-[ethyl(propyl)amino]propane-1,2-diol. An inhibitor of ergosterol synthesis, it is a broad spectrum agricultural fungicide used particularly against powdery mildew in the production of cereals, bananas and grapes."	"PPDB:599 PMID:19733892 KEGG:C11124 AGR:IND43667533 Pesticides:spiroxamine PMID:17804411 PMID:20060629 Reaxys:11342560 PMID:16526469 Patent:US4851405 CAS:118134-30-8 PMID:16366700 Patent:DE3735555"
<http://purl.obolibrary.org/obo/CHEBI_35649>		"Beilstein:1375527"
<http://purl.obolibrary.org/obo/CHEBI_53183>	"A compound arising from loss of part of the carotene skeleton (excluding retinoids)"	
<http://purl.obolibrary.org/obo/CHEBI_81502>		"KEGG:C18100 CAS:39227-28-6"
<http://purl.obolibrary.org/obo/ECTO_9000938>	"An exposure to dimethylarsinic acid."	
<http://purl.obolibrary.org/obo/ECTO_0070050>	"An exposure to zucchini squash (whole) via ingestion."	
<http://purl.obolibrary.org/obo/ECTO_8000007>	"A exposure event involving the interaction of an exposure receptor to plastic pollution."	
<http://purl.obolibrary.org/obo/CHEBI_29033>		"KEGG:C14818 Gmelin:6845 PDBeChem:FE2 CAS:15438-31-0"
<http://purl.obolibrary.org/obo/CHEBI_32682>	"The L-enantiomer of argininium(1+)."	"Gmelin:1345601"
<http://purl.obolibrary.org/obo/GO_1990904>	"A macromolecular complex that contains both RNA and protein molecules."	"Wikipedia:Ribonucleoprotein"
<http://purl.obolibrary.org/obo/MAXO_0010355>	"Use of an imaging test that uses small amounts of radiation to produce pictures of neck."	
<http://purl.obolibrary.org/obo/GO_1901162>	"The chemical reactions and pathways resulting in the formation of primary amino compound."	
<http://purl.obolibrary.org/obo/FOODON_03311737>		"SUBSET_SIREN:F11737"
<http://purl.obolibrary.org/obo/ECTO_9000391>	"An exposure to metformin."	
<http://purl.obolibrary.org/obo/FOODON_00001010>		
<http://purl.obolibrary.org/obo/FOODON_03420144>		"http://www.langual.org/langual_thesaurus.asp?termid=C0144"
<http://purl.obolibrary.org/obo/CHEBI_26407>		
<http://purl.obolibrary.org/obo/CHEBI_83640>	"The (S)-enantiomer of 2-chloro-N-(2,4-dimethylthiophen-3-yl)-N-[(2S)-1-methoxypropan-2-yl]acetamide. It is the active enantiomer of dimethenamid, a herbicide applied to the soil to control various broad-leaved weeds and grasses."	"CAS:163515-14-8 Pesticides:dimethenamid-p Reaxys:8319839 PPDB:241"
<http://purl.obolibrary.org/obo/ECTO_9000904>	"An exposure to venlafaxine."	
<http://purl.obolibrary.org/obo/CHEBI_27177>	"A proteinogenic amino acid derivative resulting from reaction of L-tyrosine at the amino group or the carboxy group, or from the replacement of any hydrogen of L-tyrosine by a heteroatom."	
<http://purl.obolibrary.org/obo/CHEBI_39217>		
<http://purl.obolibrary.org/obo/ENVO_01000558>		
<http://purl.obolibrary.org/obo/CHEBI_5063>	"A racemate comprising equimolar amounts of (R)- and (S)-fipronil."	"PMID:23618775 Patent:EP295117 Wikipedia:Fipronil PMID:18155147 PMID:23109279 PMID:24899256 Reaxys:8090115 PMID:25131894 PMID:24938819 PMID:17562454 PMID:22502899 CAS:120068-37-3 PMID:19215184 PMID:17687584 PMID:18835630 PMID:14667049 PMID:23576335 KEGG:D01042 PMID:20821427 PMID:25077813 Patent:US5232940 PMID:19355792 PMID:24742550 KEGG:C11099 PMID:25096486 Pesticides:fipronil Beilstein:8090115"
<http://purl.obolibrary.org/obo/ECTO_9001817>	"An exposure to dopaminergic agent."	
<http://purl.obolibrary.org/obo/CHEBI_35166>		
<http://purl.obolibrary.org/obo/GO_0030234>	"Binds to and modulates the activity of an enzyme."	
<http://purl.obolibrary.org/obo/ENVO_21001215>	"A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths between 380 nm and 760 nm."	"NCIT:C17732"
<http://purl.obolibrary.org/obo/CHEBI_81503>		"CAS:57653-85-7 KEGG:C18101"
<http://purl.obolibrary.org/obo/CHEBI_75281>	"A racemate comprising equimolar amounts of (R)- and (S)-myclobutanil. A sterol demethylation inhibitor, it is a widely-used agricultural fungicide."	"PMID:16971344 PMID:24014248 PMID:25043148 PMID:24666947 PMID:22288843 Wikipedia:Myclobutanil Pesticides:myclobutanil PMID:23939881 CAS:88671-89-0 PMID:24249205 PMID:22415649 PMID:18683908 PMID:15823329 KEGG:C18477 PMID:16248555 Reaxys:7138849 PMID:17484520 PMID:21967215 Patent:EP145294 PMID:22526985"
<http://purl.obolibrary.org/obo/CHEBI_53310>	"A macromolecule derived from two or more species of monomer."	
<http://purl.obolibrary.org/obo/ECTO_9001717>	"An exposure to psychotropic drug."	
<http://purl.obolibrary.org/obo/CHEBI_26935>	"Any terpenoid derived from a tetraterpene. The term includes compounds in which the C40 skeleton of the parent tetraterpene has been rearranged or modified by the removal of one or more skeletal atoms (generally methyl groups)."	"LIPID_MAPS_class:LMPR0107"
<http://purl.obolibrary.org/obo/ECTO_9000777>	"An exposure to malachite green."	
<http://purl.obolibrary.org/obo/PO_0030100>	"A fruit (PO:0009001) which develops from a carpel (PO:0009030) and at maturity comprises a dry exocarp (PO:0009085), dry mesocarp (PO:0009087), and dry endocarp (PO:0009086) that dehisce along two fruit valves (PO:0000033)."	"PO_GIT:645"
<http://purl.obolibrary.org/obo/NCIT_C19733>	"Methods of preparing foods and their role in health and disease."	
<http://purl.obolibrary.org/obo/CHEBI_29034>		"KEGG:C14819 PDBeChem:FE Gmelin:15986 CAS:20074-52-6"
<http://purl.obolibrary.org/obo/ECTO_8000021>	"A exposure event involving the interaction of an exposure receptor to tectonic earthquake."	
<http://purl.obolibrary.org/obo/NCBITaxon_464095>		"GC_ID:1"
<http://purl.obolibrary.org/obo/CHEBI_50344>	"Any of the macrolides obtained as fermentation products from the bacterium Streptomyces avermitilis and consisting of a 16-membered macrocyclic backbone that is fused both benzofuran and spiroketal functions and contains a disaccharide substituent. They have significant anthelmintic and insecticidal properties."	"PMID:8688633 PMID:22039799 PMID:23165468 Wikipedia:Avermectin PMID:22542398 PMID:22039784"
<http://purl.obolibrary.org/obo/MAXO_0000170>	"A therapy utilizing a substance which produces loss of feeling or sensation."	"NCIT:C245 CHEBI:38867"
<http://purl.obolibrary.org/obo/ENVO_03000043>	"A process during which a portion of some environmental material is converted into a different material or a collection of materials."	
<http://purl.obolibrary.org/obo/CHEBI_36364>		
<http://purl.obolibrary.org/obo/CHEBI_35281>	"Neutral molecules having charge-separated forms with an onium atom which bears no hydrogen atoms and that is not adjacent to the anionic atom."	
<http://purl.obolibrary.org/obo/CHEBI_47774>	"Cholesterol esters and free cholesterol which are contained in or bound to low-density lipoproteins (LDL)."	
<http://purl.obolibrary.org/obo/CDNO_0200797>	"The concentration of hydroxyflavone when measured in some material entity."	
<http://purl.obolibrary.org/obo/CHEBI_33735>		
<http://purl.obolibrary.org/obo/ECTO_0070084>	"An exposure to processed meat food product via ingestion."	
<http://purl.obolibrary.org/obo/ECTO_9000025>	"An exposure to potassium hydroxide."	
<http://purl.obolibrary.org/obo/CHEBI_39216>		
<http://purl.obolibrary.org/obo/ECTO_2000039>	"An exposure to Positron Emission Tomography."	
<http://purl.obolibrary.org/obo/FOODON_00002095>	"A food product deriving from one or more peaches."@en	
